tree,collar,date,Month,Year,Soil Temp,Soil Moisture,Conductivity
9,9,10/16/16,October,2016,9.5,0.062,0.007
10,10,10/16/16,October,2016,9.4,0.025,0.007
10,10b,10/16/16,October,2016,9.4,0.032,0.005
11,11,10/16/16,October,2016,9.5,0.091,0.002
12,12,10/16/16,October,2016,9.3,0.138,0.012
12,12b,10/16/16,October,2016,9.8,0.114,0.005
13,13,10/16/16,October,2016,9.1,0.075,0.004
14,14,10/16/16,October,2016,8.7,0.082,0.003
14,14b,10/16/16,October,2016,8.8,0.057,0.007
15,15,10/16/16,October,2016,9.6,0.066,0.008
16,16,10/16/16,October,2016,9.6,0.108,0.007
16,16b,10/16/16,October,2016,9.8,0.13,0.011
17,17,10/14/16,October,2016,8.2,0.207,0.016
18,18,10/16/16,October,2016,9,0.074,0.003
18,18b,10/16/16,October,2016,9.1,0.163,0.01
19,19,10/16/16,October,2016,9.2,0.12,0.004
20,20,10/14/16,October,2016,10.2,0.251,0.013
20,20b,10/14/16,October,2016,10.1,0.227,0.012
21,21,10/16/16,October,2016,8.9,0.028,0.004
22,22,10/14/16,October,2016,9.5,0.138,0.007
22,22b,10/14/16,October,2016,9.7,0.106,0.004
23,23,10/14/16,October,2016,9.8,0.113,0.004
24,24,10/16/16,October,2016,8.7,0.077,0.004
24,24b,10/16/16,October,2016,8.7,0.015,0.005
1,1,11/17/16,November,2016,8,0.142,0.012
2,2,11/17/16,November,2016,7.3,0.385,0.034
2,2b,11/17/16,November,2016,7.7,0.361,0.027
3,3,11/17/16,November,2016,7.6,0.245,0.018
4,4,11/17/16,November,2016,7.1,0.294,0.016
4,4b,11/17/16,November,2016,7.3,0.381,0.019
5,5,11/17/16,November,2016,7.1,0.247,0.014
6,6,11/17/16,November,2016,7.9,0.113,0.005
6,6b,11/17/16,November,2016,7.5,0.255,0.022
7,7,11/17/16,November,2016,7.5,0.308,0.018
8,8,11/17/16,November,2016,8,0.113,0.007
8,8b,11/17/16,November,2016,8.2,0.129,0.02
9,9,11/17/16,November,2016,8.1,0.102,0.014
10,10,11/17/16,November,2016,7.7,0.15,0.012
10,10b,11/17/16,November,2016,7.7,0.269,0.028
11,11,11/17/16,November,2016,8.3,0.18,0.011
12,12,11/17/16,November,2016,7.5,0.247,0.014
12,12b,11/17/16,November,2016,8,0.148,0.013
13,13,11/17/16,November,2016,7.9,0.121,0.007
14,14,11/17/16,November,2016,7.5,0.231,0.011
14,14b,11/17/16,November,2016,7.3,0.239,0.015
15,15,11/17/16,November,2016,7.8,0.168,0.018
16,16,11/17/16,November,2016,8.1,0.258,0.029
16,16b,11/17/16,November,2016,7.6,0.249,0.029
17,17,11/17/16,November,2016,7.1,0.378,0.02
18,18,11/17/16,November,2016,8,0.077,0.01
18,18b,11/17/16,November,2016,7.6,0.309,0.025
19,19,11/17/16,November,2016,8.1,0.132,0.006
20,20,11/17/16,November,2016,7.2,0.196,0.017
20,20b,11/17/16,November,2016,7.2,0.209,0.019
21,21,11/17/16,November,2016,7.3,0.185,0.015
22,22,11/17/16,November,2016,7.3,0.247,0.015
22,22b,11/17/16,November,2016,7.4,0.269,0.023
23,23,11/17/16,November,2016,7.5,0.253,0.026
24,24,11/17/16,November,2016,8.1,0.066,0.011
24,24b,11/17/16,November,2016,8.6,0.188,0.019
1,1,5/19/17,May,2017,12.3,0.274,0.011
2,2,5/19/17,May,2017,13.8,0.429,0.036
2,2b,5/19/17,May,2017,14.4,0.428,0.045
3,3,5/19/17,May,2017,14,0.357,0.014
4,4,5/19/17,May,2017,13.1,0.334,0.013
4,4b,5/19/17,May,2017,12,0.48,0.019
5,5,5/19/17,May,2017,13.7,0.469,0.024
6,6,5/19/17,May,2017,13.3,0.23,0.014
6,6b,5/19/17,May,2017,13.7,0.211,0.008
7,7,5/19/17,May,2017,13.8,0.309,0.008
8,8,5/19/17,May,2017,12.9,0.274,0.012
8,8b,5/19/17,May,2017,12.6,0.258,0.012
9,9,5/19/17,May,2017,12.7,0.166,0.013
10,10,5/19/17,May,2017,13.4,0.171,0.012
10,10b,5/19/17,May,2017,12.5,0.032,0.007
11,11,5/19/17,May,2017,12.5,0.394,0.017
12,12,5/19/17,May,2017,12.4,0.184,0.009
12,12b,5/19/17,May,2017,12.5,0.088,0.005
13,13,5/19/17,May,2017,12.8,0.305,0.013
14,14,5/19/17,May,2017,13.4,0.114,0.009
14,14b,5/19/17,May,2017,13.3,0.27,0.016
15,15,5/19/17,May,2017,12,0.101,0.008
16,16,5/19/17,May,2017,12.4,0.272,0.011
16,16b,5/19/17,May,2017,11.7,0.265,0.02
17,17,5/19/17,May,2017,13.2,0.53,0.059
18,18,5/19/17,May,2017,12.9,0.216,0.005
18,18b,5/19/17,May,2017,12.9,0.258,0.007
19,19,5/19/17,May,2017,13.5,0.24,0.007
20,20,5/19/17,May,2017,13.6,0.472,0.023
20,20b,5/19/17,May,2017,13.1,0.423,0.017
21,21,5/19/17,May,2017,13.9,0.03,0.006
22,22,5/19/17,May,2017,13.5,0.328,0.014
22,22b,5/19/17,May,2017,13,0.282,0.014
23,23,5/19/17,May,2017,12,0.376,0.016
24,24,5/19/17,May,2017,11.2,0.273,0.016
24,24b,5/19/17,May,2017,11.2,0.013,0.008
1,1,6/16/17,June,2017,13.8,0.181,1.396
2,2,6/16/17,June,2017,15,0.338,1.637
2,2b,6/16/17,June,2017,15,0.366,1.683
3,3,6/16/17,June,2017,15.4,0.205,1.431
4,4,6/16/17,June,2017,14.1,0.243,1.489
4,4b,6/16/17,June,2017,14.1,0.323,1.612
5,5,6/16/17,June,2017,14,0.308,1.588
6,6,6/16/17,June,2017,14.6,0.135,1.326
6,6b,6/16/17,June,2017,14.6,0.135,1.326
7,7,6/16/17,June,2017,14.7,0.149,1.348
8,8,6/16/17,June,2017,14.4,0.165,1.371
8,8b,6/16/17,June,2017,14.4,0.158,1.361
9,9,6/16/17,June,2017,14.5,0.12,1.303
10,10,6/16/17,June,2017,15.1,0.093,1.259
10,10b,6/16/17,June,2017,15.1,0.076,1.232
11,11,6/16/17,June,2017,15.2,0.179,1.394
12,12,6/16/17,June,2017,14.3,0.104,1.285
12,12b,6/16/17,June,2017,14.3,0.118,1.299
13,13,6/16/17,June,2017,14,0.171,1.38
14,14,6/16/17,June,2017,14.5,0.115,1.294
14,14b,6/16/17,June,2017,14.5,0.101,1.273
15,15,6/16/17,June,2017,14,0.148,1.345
16,16,6/16/17,June,2017,14.7,0.098,1.251
16,16b,6/16/17,June,2017,14.5,0.118,1.299
17,17,6/16/17,June,2017,14.6,0.296,1.569
18,18,6/16/17,June,2017,14.5,0.093,1.259
18,18b,6/16/17,June,2017,14.5,0.107,1.282
19,19,6/16/17,June,2017,14.4,0.125,1.309
20,20,6/16/17,June,2017,15,0.273,1.534
20,20b,6/16/17,June,2017,15,0.252,1.502
21,21,6/16/17,June,2017,15.5,0.124,1.309
22,22,6/16/17,June,2017,14.7,0.199,1.423
22,22b,6/16/17,June,2017,14.7,0.18,1.395
23,23,6/16/17,June,2017,14.2,0.183,1.398
24,24,6/16/17,June,2017,13.6,0.149,1.347
24,24b,6/16/17,June,2017,13.6,0.125,1.311
1,1,7/11/17,July,2017,17.9,0.181,1.396
2,2,7/11/17,July,2017,18.8,0.323,1.612
2,2b,7/11/17,July,2017,18.8,0.366,1.683
3,3,7/11/17,July,2017,20,0.118,1.299
4,4,7/11/17,July,2017,18.1,0.243,1.489
4,4b,7/11/17,July,2017,18.1,0.205,1.431
5,5,7/11/17,July,2017,18.8,0.308,1.588
6,6,7/11/17,July,2017,19.1,0.135,1.326
6,6b,7/11/17,July,2017,19.1,0.135,1.326
7,7,7/11/17,July,2017,18.4,0.149,1.348
8,8,7/11/17,July,2017,18.5,0.165,1.371
8,8b,7/11/17,July,2017,18.5,0.158,1.361
9,9,7/11/17,July,2017,18.9,0.093,1.259
10,10,7/11/17,July,2017,19,0.093,1.259
10,10b,7/11/17,July,2017,19,0.076,1.232
11,11,7/11/17,July,2017,19.5,0.179,1.394
12,12,7/11/17,July,2017,18.3,0.104,1.285
12,12b,7/11/17,July,2017,18.3,0.12,1.303
13,13,7/11/17,July,2017,17.9,0.171,1.38
14,14,7/11/17,July,2017,18.9,0.115,1.294
14,14b,7/11/17,July,2017,18.9,0.101,1.273
15,15,7/11/17,July,2017,18,0.148,1.345
16,16,7/11/17,July,2017,18.5,0.098,1.251
16,16b,7/11/17,July,2017,18,0.118,1.299
17,17,7/11/17,July,2017,18.7,0.296,1.569
18,18,7/11/17,July,2017,18.2,0.093,1.259
18,18b,7/11/17,July,2017,18.2,0.107,1.282
19,19,7/11/17,July,2017,18.7,0.125,1.309
20,20,7/11/17,July,2017,18.8,0.273,1.534
20,20b,7/11/17,July,2017,18.8,0.252,1.502
21,21,7/11/17,July,2017,19.5,0.124,1.309
22,22,7/11/17,July,2017,19,0.199,1.423
22,22b,7/11/17,July,2017,19,0.18,1.395
23,23,7/11/17,July,2017,18.1,0.183,1.398
24,24,7/11/17,July,2017,17.4,0.149,1.347
24,24b,7/11/17,July,2017,17.4,0.125,1.311
1,1,8/14/17,August,2017,20,0.153,1.353
2,2,8/14/17,August,2017,19,0.289,1.557
2,2b,8/14/17,August,2017,19.5,0.278,1.541
3,3,8/14/17,August,2017,19,0.179,1.392
4,4,8/14/17,August,2017,20,0.06,1.204
4,4b,8/14/17,August,2017,19.5,0.123,1.308
5,5,8/14/17,August,2017,19.5,0.117,1.298
6,6,8/14/17,August,2017,20,0.111,1.287
6,6b,8/14/17,August,2017,19,0.097,1.265
7,7,8/14/17,August,2017,18.5,0.104,1.277
8,8,8/14/17,August,2017,19.5,0.126,1.311
8,8b,8/14/17,August,2017,18,0.138,1.33
9,9,8/14/17,August,2017,19.5,0.139,1.334
10,10,8/14/17,August,2017,19.5,0.125,1.309
10,10b,8/14/17,August,2017,19.5,0.04,1.168
11,11,8/14/17,August,2017,19,0.071,1.223
12,12,8/14/17,August,2017,20,0.065,1.213
12,12b,8/14/17,August,2017,19.5,0.072,1.224
13,13,8/14/17,August,2017,19.5,0.071,1.223
14,14,8/14/17,August,2017,20,0.099,1.27
14,14b,8/14/17,August,2017,20,0.126,1.312
15,15,8/14/17,August,2017,19,0.111,1.289
16,16,8/14/17,August,2017,18.5,0.068,1.218
16,16b,8/14/17,August,2017,19.5,0.137,1.33
17,17,8/14/17,August,2017,19,0.186,1.403
18,18,8/14/17,August,2017,20,0.086,1.248
18,18b,8/14/17,August,2017,19,0.08,1.238
19,19,8/14/17,August,2017,20,0.101,1.273
20,20,8/14/17,August,2017,18.5,0.168,1.376
20,20b,8/14/17,August,2017,19.5,0.165,1.372
21,21,8/14/17,August,2017,19.5,0.037,1.163
22,22,8/14/17,August,2017,18.5,0.123,1.307
22,22b,8/14/17,August,2017,18,0.141,1.335
23,23,8/14/17,August,2017,18,0.123,1.307
24,24,8/14/17,August,2017,19,0.091,1.256
24,24b,8/14/17,August,2017,19,0.088,1.252
1,1,9/8/17,September,2017,14.5,0.209,1.437
2,2,9/8/17,September,2017,15,0.348,1.654
2,2b,9/8/17,September,2017,15,0.295,1.568
3,3,9/8/17,September,2017,15,0.265,1.521
4,4,9/8/17,September,2017,14,0.215,1.447
4,4b,9/8/17,September,2017,14,0.257,1.509
5,5,9/8/17,September,2017,15,0.228,1.465
6,6,9/8/17,September,2017,14.5,0.191,1.411
6,6b,9/8/17,September,2017,14,0.163,1.368
7,7,9/8/17,September,2017,14.5,0.179,1.392
8,8,9/8/17,September,2017,14,0.243,1.489
8,8b,9/8/17,September,2017,14,0.233,1.473
9,9,9/8/17,September,2017,15,0.206,1.433
10,10,9/8/17,September,2017,15,0.219,1.452
10,10b,9/8/17,September,2017,15,0.194,1.415
11,11,9/8/17,September,2017,15,0.153,1.353
12,12,9/8/17,September,2017,15,0.121,1.304
12,12b,9/8/17,September,2017,15,0.144,1.34
13,13,9/8/17,September,2017,15,0.148,1.345
14,14,9/8/17,September,2017,15,0.232,1.472
14,14b,9/8/17,September,2017,15,0.23,1.469
15,15,9/8/17,September,2017,15,0.214,1.444
16,16,9/8/17,September,2017,15,0.189,1.408
16,16b,9/8/17,September,2017,15,0.148,1.347
17,17,9/8/17,September,2017,14.5,0.262,1.517
18,18,9/8/17,September,2017,15,0.184,1.399
18,18b,9/8/17,September,2017,15,0.179,1.392
19,19,9/8/17,September,2017,15,0.145,1.34
20,20,9/8/17,September,2017,14,0.347,1.651
20,20b,9/8/17,September,2017,14,0.318,1.605
21,21,9/8/17,September,2017,15.5,0.173,1.383
22,22,9/8/17,September,2017,14,0.243,1.489
22,22b,9/8/17,September,2017,14,0.201,1.425
23,23,9/8/17,September,2017,14,0.212,1.442
24,24,9/8/17,September,2017,13.5,0.223,1.458
24,24b,9/8/17,September,2017,13.5,0.177,1.39
1,1,10/18/17,October,2017,11,0.117,1.298
2,2,10/18/17,October,2017,10,0.331,1.625
2,2b,10/18/17,October,2017,9,0.296,1.569
3,3,10/18/17,October,2017,10,0.188,1.406
4,4,10/18/17,October,2017,8,0.051,1.187
4,4b,10/18/17,October,2017,9,0.131,1.32
5,5,10/18/17,October,2017,10,0.103,1.276
6,6,10/18/17,October,2017,11,0.079,1.235
6,6b,10/18/17,October,2017,11,0.102,1.274
7,7,10/18/17,October,2017,10.5,0.131,1.319
8,8,10/18/17,October,2017,10.5,0.101,1.272
8,8b,10/18/17,October,2017,10.5,0.139,1.333
9,9,10/18/17,October,2017,13,0.067,1.216
10,10,10/18/17,October,2017,15,0.111,1.289
10,10b,10/18/17,October,2017,13.5,0.086,1.248
11,11,10/18/17,October,2017,12,0.054,1.192
12,12,10/18/17,October,2017,15,0.095,1.262
12,12b,10/18/17,October,2017,13,0.049,1.184
13,13,10/18/17,October,2017,15,0.083,1.242
14,14,10/18/17,October,2017,14.5,0.104,1.277
14,14b,10/18/17,October,2017,13,0.097,1.266
15,15,10/18/17,October,2017,13.5,0.119,1.301
16,16,10/18/17,October,2017,14,0.036,1.159
16,16b,10/18/17,October,2017,13.5,0.107,1.283
17,17,10/18/17,October,2017,9,0.161,1.365
18,18,10/18/17,October,2017,11,0.075,1.229
18,18b,10/18/17,October,2017,11.5,0.097,1.266
19,19,10/18/17,October,2017,14,0.145,1.344
20,20,10/18/17,October,2017,10,0.227,1.464
20,20b,10/18/17,October,2017,9,0.212,1.442
21,21,10/18/17,October,2017,15,0.064,1.212
22,22,10/18/17,October,2017,8.5,0.121,1.304
22,22b,10/18/17,October,2017,8,0.125,1.309
23,23,10/18/17,October,2017,9,0.127,1.313
24,24,10/18/17,October,2017,10,0.099,1.269
24,24b,10/18/17,October,2017,10,0.076,1.232
